"Parameter","ANOVA_P_Value","ANOVA_P_Adjusted","Significant"
"PA_SVP",0.081,0.567,FALSE
"PA_Choroid",0.823,0.938,FALSE
"PA_DCP",0.313,0.938,FALSE
"PA_ICP",0.464,0.938,FALSE
"VD_DCP",0.705,0.938,FALSE
"VD_ICP",0.938,0.938,FALSE
"VD_SVP",0.594,0.938,FALSE
