"Parameter","Comparison","Mean_Diff","P_Value","P_Adjusted","Significant","Effect_Size"
"Thickness_GCL.IPL","2 vs 1",1.299375,0.913,1,FALSE,0.272217447562782
"Thickness_GCL.IPL","3 vs 1",-1.32886666666667,0.92,1,FALSE,0.489713996384611
"Thickness_INL","2 vs 1",3.32521666666667,0.352,1,FALSE,1.18673875252962
"Thickness_INL","3 vs 1",-0.0357000000000016,1,1,FALSE,0.0110169619792001
"Thickness_OuterRetina","2 vs 1",6.61181666666667,0.63,1,FALSE,1.099849208746
"Thickness_OuterRetina","3 vs 1",-1.31523333333334,0.983,1,FALSE,0.129858102351228
"Thickness_Retina","2 vs 1",15.9243166666667,0.652,1,FALSE,1.39457229354568
"Thickness_Retina","3 vs 1",-11.5218,0.816,1,FALSE,0.429486210215585
