"Parameter","Comparison","P_Value","P_Adjusted","Significant"
"Thickness_GCL.IPL","2 vs 1",0.142857142857143,0.142857142857143,FALSE
"Thickness_INL","2 vs 1",0.142857142857143,0.285714285714286,FALSE
"Thickness_INL","3 vs 1",1,1,FALSE
"Thickness_OuterRetina","2 vs 1",0.428571428571428,0.857142857142857,FALSE
"Thickness_OuterRetina","3 vs 1",1,1,FALSE
"Thickness_Retina","2 vs 1",1,1,FALSE
