"Parameter","OR","OR_Lower","OR_Upper","P_Value","P_Adjusted","Significant","Median_Cutoff"
"PA_Choroid",1.87936251223793,0.0688591277696854,146.864237618116,1,1,FALSE,-2.28109999999998
"PA_DCP",1.87936251223793,0.0688591277696854,146.864237618116,1,1,FALSE,0.351700000000001
"PA_ICP",1.87936251223793,0.0688591277696854,146.864237618116,1,1,FALSE,-0.391399999999997
"PA_SVP",Inf,0.383705634085811,Inf,0.181818181818182,1,FALSE,-0.118199999999995
"VD_DCP",0.336241829067618,0.00425973908143636,9.1991605820318,0.545454545454545,1,FALSE,0.165
"VD_ICP",1.87936251223793,0.0688591277696854,146.864237618116,1,1,FALSE,0.3704
"VD_SVP",1.87936251223793,0.0688591277696854,146.864237618116,1,1,FALSE,-0.110200000000003
