"time_period_clean","cluster_Cluster 1","cluster_Cluster 2","rhr_difference","abs_difference"
"Pre all",80.3304560545838,77.3122277349206,-3.01822831966319,3.01822831966319
"Pre 7d all",79.8217985247217,77.4078777507733,-2.41392077394839,2.41392077394839
"Pre 3-7d",82.2647180949308,77.1871352303539,-5.07758286457695,5.07758286457695
"Pre 3d",78.7717920305134,78.5086945117708,-0.263097518742669,0.263097518742669
"Post 1-3d",79.3660102863718,78.0239558144827,-1.34205447188916,1.34205447188916
"Post 4-6d",78.9550463810014,78.0585736775441,-0.896472703457235,0.896472703457235
"Post 6d",79.1903919960091,78.0558559813269,-1.13453601468221,1.13453601468221
"Post 1w",79.4769975753531,78.5139206784293,-0.963076896923852,0.963076896923852
"Post 7-30d",80.0102536904234,80.2088017936936,0.19854810327017,0.19854810327017
"Post 23-30d",80.7707562702369,80.6371032509835,-0.133653019253401,0.133653019253401
"Post 27-30d",80.8116619741998,79.8634264365059,-0.948235537693805,0.948235537693805
"Post >30d",79.7478818774427,79.9412664602465,0.193384582803787,0.193384582803787
