"day_point","valid_count","completeness"
-4,31,73.8095238095238
-3,37,88.0952380952381
-2,36,85.7142857142857
-1,40,95.2380952380952
0,38,90.4761904761905
1,39,92.8571428571429
2,42,100
3,40,95.2380952380952
4,41,97.6190476190476
5,39,92.8571428571429
6,38,90.4761904761905
7,38,90.4761904761905
