"max_cluster","Mean_Baseline_LogMAR","SD_Baseline_LogMAR","Patients_Good_Vision","Patients_Moderate_Vision","Patients_Poor_Vision"
1,0.481232499744238,0.380583047585808,2,3,1
2,0.462266252281018,0.342033572987378,3,4,2
