"cluster","n","mean_hr","sd_mean_hr","mean_sd_hr","mean_min_hr","mean_max_hr"
1,7,67.5487984132222,NA,12.3303967208032,39.8571428571429,144.857142857143
2,9,75.0169051638998,NA,11.9389408509964,45.3333333333333,154.111111111111
3,4,61.9184772628247,NA,12.9879550422234,36.25,148.25
