"cluster","floor(days_from_surgery)","day","mean_hr","se_hr"
1,-4,-4,73.5237625714849,0.11809806541281
1,-3,-3,70.6636734693878,0.115668257716078
1,-2,-2,71.8781603660005,0.153600547478206
1,-1,-1,72.1087085308057,0.152730430875657
1,0,0,71.6382704691812,0.115679374471149
1,1,1,69.952420355813,0.133051461287937
1,2,2,70.5866666666667,0.141091153881498
1,3,3,71.6799333194415,0.131590777057491
1,4,4,71.5450597176982,0.153830385877911
1,5,5,72.1426139587668,0.146427100144877
1,6,6,75.0517169179229,0.153967730326413
1,7,7,72.2340067340067,0.162453168639613
1,8,8,72.5037400051586,0.153087018356608
1,9,9,73.8722786647315,0.159241639812698
1,10,10,72.2437684003925,0.129809853053531
1,11,11,71.1972310485701,0.136654463163801
1,12,12,71.4312814556717,0.154170933798507
1,13,13,72.2369543147208,0.12973354020472
1,14,14,72.6436583261432,0.121169795239041
1,15,15,71.6219264606361,0.141901235950217
1,16,16,72.4832186783406,0.174510324722012
1,17,17,72.1998947922146,0.148613224003669
1,18,18,70.8663606222902,0.148138514758876
1,19,19,71.4332597904026,0.169696649802754
1,20,20,72.7082857142857,0.152188986949405
1,21,21,73.1235471373224,0.165843067103076
1,22,22,72.3174157303371,0.138859754547788
1,23,23,75.0641077170418,0.163148502967435
1,24,24,73.1673012318029,0.193885180898431
1,25,25,72.2852737085582,0.150056713061724
1,26,26,72.7881193539557,0.178469657487591
1,27,27,68.3353747448236,0.141228148271827
1,28,28,70.754711673699,0.170856818022905
1,29,29,72.2195904268443,0.152841176668811
1,30,30,67.3333333333333,2.84800124843918
2,-4,-4,83.0363672895319,0.151358578888789
2,-3,-3,84.5064212328767,0.118345685482335
2,-2,-2,86.463768115942,0.12361572466898
2,-1,-1,85.4948571428571,0.128288044950648
2,0,0,84.654092600248,0.102472144936361
2,1,1,84.9200340280732,0.105922913553891
2,2,2,86.4896980268178,0.114725688378278
2,3,3,82.9098878695209,0.102959009879299
2,4,4,85.4695878848064,0.133948601882023
2,5,5,84.3826786185078,0.111726307282129
2,6,6,84.3035511593968,0.142319207507791
2,7,7,83.0514399866822,0.15492989826793
2,8,8,82.9551927752692,0.105132610128578
2,9,9,83.9272057950362,0.127694086535611
2,10,10,83.2071835979652,0.12868185986356
2,11,11,84.0224795640327,0.143596717464565
2,12,12,81.0834330143541,0.124098587096213
2,13,13,83.3502747252747,0.146689168153061
2,14,14,82.0976956770139,0.126003063572091
2,15,15,82.6161638901396,0.150670815488868
2,16,16,83.8389719381065,0.176833410541357
2,17,17,85.274690663667,0.13424389027582
2,18,18,84.5578369587314,0.136538541115948
2,19,19,84.6739455578821,0.128819026775411
2,20,20,83.4374906423117,0.136183390505414
2,21,21,84.927306501548,0.110092684314096
2,22,22,85.6153958515922,0.137478970096349
2,23,23,84.5927516778523,0.112685743686176
2,24,24,87.0890677025527,0.120681664393565
2,25,25,86.4745303773904,0.123292666839294
2,26,26,86.6524473924977,0.12502743562419
2,27,27,85.5366064803364,0.113807233576353
2,28,28,86.61969168121,0.136313086201989
2,29,29,85.5812248758572,0.151989868499195
2,30,30,78.5,1.5
3,-4,-4,90.9202037351443,0.224077818242692
3,-3,-3,89.4382063434196,0.226016192568626
3,-2,-2,91.0716735253772,0.238059825917746
3,-1,-1,88.8928571428571,0.238005981227886
3,0,0,91.2787834902245,0.168601180878601
3,1,1,91.1624,0.168501383276485
3,2,2,93.151871657754,0.215539448987731
3,3,3,88.7669396872673,0.178189172765077
3,4,4,83.0229621125143,0.23591407916541
3,5,5,91.1375802997859,0.183072260354744
3,6,6,93.7998500749625,0.155854728628021
3,7,7,94.6053668143771,0.169057808963941
3,8,8,91.9100373731981,0.183905962156295
3,9,9,90.2436868686869,0.176772430987982
3,10,10,88.0277158330679,0.166808661033637
3,11,11,91.4138915318744,0.176110923781825
3,12,12,92.0321531791908,0.202100166319359
3,13,13,93.8286432160804,0.17855149275473
3,14,14,92.0864914425428,0.16334590373348
3,15,15,92.8005865102639,0.224713065702535
3,16,16,91.0459110473458,0.154943803868932
3,17,17,93.0111338997949,0.184741299102623
3,18,18,86.0799112097669,0.201973387543213
3,19,19,92.0018685767674,0.179765154891005
3,20,20,94.4801061007958,0.182755312764807
3,21,21,93.1559020044543,0.158048937868354
3,22,22,99.6547215496368,0.201746424863059
3,23,23,97.8264261335934,0.204340576147416
3,24,24,99.1804974144299,0.192053630660469
3,25,25,96.2105960264901,0.250252763373986
3,26,26,91.5782800441014,0.168946826223373
3,27,27,92.2617743702081,0.176792258325083
3,28,28,93.3705438459537,0.16922522221313
3,29,29,96.9003344481605,0.180042867214077
3,30,30,92.5,0.5
