"Parameter","Rho","P_value","P_adjusted"
"Thickness_GCL.IPL",-0.191208791208791,0.512583970470778,1
"Thickness_INL",-0.112087912087912,0.702833163196769,1
"Thickness_OuterRetina",-0.132142857142857,0.638744218884067,1
"Thickness_Retina",-0.032967032967033,0.910918653071845,1
