"Parameter","Rho","P_value","P_adjusted"
"Thickness_INL",-0.547619047619048,0.160025642538896,0.640102570155585
"Thickness_OuterRetina",-0.452380952380952,0.260404767436885,0.781214302310655
"Thickness_Retina",-0.333333333333333,0.419753086419753,0.839506172839506
"Thickness_GCL.IPL",0.0714285714285714,0.866526270675909,0.866526270675909
