"original_id","anonymous_id"
"SH012","W01"
"SH019","W02"
"SH032","W03"
"SH035","W04"
"SH055","W05"
"SH058","W06"
"SH060","W07"
"SH061","W08"
"SH064","W09"
"SH067","W10"
"SH068","W11"
"SH071","W12"
"SH072","W13"
"SH073","W14"
"SH074","W15"
