"day","stat_type","bo_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
-7,"cv","bo",0.264294649818054,1.41868938681927,FALSE,0.725155524933171,FALSE
-7,"iqr","bo",0.388943397696327,0.988087554389504,FALSE,0.953945771848484,FALSE
-7,"kurt","bo",0.226186242060009,1.5967501311149,FALSE,0.706828791152096,FALSE
-7,"max","bo",0.374056935102567,1.03086527718612,FALSE,0.646098342449889,FALSE
-7,"mean","bo",0.107867231100608,2.4806086917143,FALSE,0.51236934772789,FALSE
-7,"median","bo",0.0460726218067617,3.57603859289082,TRUE,0.291793271442824,FALSE
-7,"min","bo",0.200485198667208,1.7365122694119,FALSE,0.586033657642609,FALSE
-7,"sd","bo",0.257881509445397,1.44660536492951,FALSE,0.762966567191472,FALSE
-7,"skew","bo",0.200064718709019,1.73895925031559,FALSE,0.687095574279193,FALSE
-6,"cv","bo",0.895671072353421,0.110601726029559,FALSE,0.964527647535271,FALSE
-6,"iqr","bo",0.788794554142872,0.239200949325242,FALSE,0.953945771848484,FALSE
-6,"kurt","bo",0.604263630790723,0.512597219972536,FALSE,0.883949696338957,FALSE
-6,"max","bo",0.445614839690645,0.831254106696591,FALSE,0.658510937286434,FALSE
-6,"mean","bo",0.998340933976778,0.00166053887247933,FALSE,0.998340933976778,FALSE
-6,"median","bo",0.820692806720328,0.19895903963293,FALSE,0.866286851538124,FALSE
-6,"min","bo",0.461042091654909,0.795310836047426,FALSE,0.822265393703604,FALSE
-6,"sd","bo",0.890552127740416,0.116378186780294,FALSE,0.960452783769663,FALSE
-6,"skew","bo",0.562510262171534,0.586912966941914,FALSE,0.871856187426796,FALSE
-5,"cv","bo",0.880955567719758,0.127285102330979,FALSE,0.964527647535271,FALSE
-5,"iqr","bo",0.520949724084848,0.666483954361524,FALSE,0.953945771848484,FALSE
-5,"kurt","bo",0.576818361518826,0.560444083938044,FALSE,0.883949696338957,FALSE
-5,"max","bo",0.371778803074126,1.02281988444188,FALSE,0.646098342449889,FALSE
-5,"mean","bo",0.650343419055958,0.436484780344544,FALSE,0.830678263485181,FALSE
-5,"median","bo",0.377645672612911,1.00610364918677,FALSE,0.574021422371625,FALSE
-5,"min","bo",0.573502969329526,0.566424909182107,FALSE,0.908046368105083,FALSE
-5,"sd","bo",0.875634237033122,0.133396473482302,FALSE,0.960452783769663,FALSE
-5,"skew","bo",0.153225450678361,1.99818422953392,FALSE,0.582256712577772,FALSE
-4,"cv","bo",0.499229235384131,0.708269421830188,FALSE,0.88530743276796,FALSE
-4,"iqr","bo",0.300863356271198,1.24207879231472,FALSE,0.953945771848484,FALSE
-4,"kurt","bo",0.334079929043629,1.13045332910172,FALSE,0.790705501836715,FALSE
-4,"max","bo",0.556220119336859,0.596253876609724,FALSE,0.728840156372436,FALSE
-4,"mean","bo",0.223677002812292,1.56161256970234,FALSE,0.527566084460104,FALSE
-4,"median","bo",0.324102225364885,1.16270605029161,FALSE,0.5669353853166,FALSE
-4,"min","bo",0.368010991427338,1.02792145799105,FALSE,0.80715041362029,FALSE
-4,"sd","bo",0.455319534895884,0.804203123191196,FALSE,0.87490933723026,FALSE
-4,"skew","bo",0.390209815775964,0.966105465137312,FALSE,0.83980422665192,FALSE
-3,"cv","bo",0.891034467167024,0.115697430594772,FALSE,0.964527647535271,FALSE
-3,"iqr","bo",0.623043416366718,0.478641336767697,FALSE,0.953945771848484,FALSE
-3,"kurt","bo",0.377839694361909,0.996759783090314,FALSE,0.797661576986253,FALSE
-3,"max","bo",0.0454587770089133,3.33613970299336,TRUE,0.559662832371789,FALSE
-3,"mean","bo",0.693837084364683,0.368796170068645,FALSE,0.830678263485181,FALSE
-3,"median","bo",0.586189261153769,0.541131351145736,FALSE,0.768110066339422,FALSE
-3,"min","bo",0.174020231266351,1.82532429444264,FALSE,0.555484763097428,FALSE
-3,"sd","bo",0.899935798499924,0.105703437509123,FALSE,0.960452783769663,FALSE
-3,"skew","bo",0.561307336091481,0.585697529756917,FALSE,0.871856187426796,FALSE
-2,"cv","bo",0.953916973795081,0.0472357593554856,FALSE,0.964527647535271,FALSE
-2,"iqr","bo",0.742531519950433,0.299973855431409,FALSE,0.953945771848484,FALSE
-2,"kurt","bo",0.98277105974712,0.0173868322326172,FALSE,0.98277105974712,FALSE
-2,"max","bo",0.196472408218932,1.69705645891866,FALSE,0.559662832371789,FALSE
-2,"mean","bo",0.738697803970657,0.305230592430217,FALSE,0.830678263485181,FALSE
-2,"median","bo",0.451328857008813,0.812010567441764,FALSE,0.635203576530922,FALSE
-2,"min","bo",0.712295679886058,0.342230614939683,FALSE,0.986746596145488,FALSE
-2,"sd","bo",0.950023322112358,0.0513362012331586,FALSE,0.960452783769663,FALSE
-2,"skew","bo",0.970119187229359,0.0303599511146497,FALSE,0.970119187229359,FALSE
-1,"cv","bo",0.831007577476973,0.185997821149979,FALSE,0.964527647535271,FALSE
-1,"iqr","bo",0.698454191285848,0.362208574721739,FALSE,0.953945771848484,FALSE
-1,"kurt","bo",0.769598683994016,0.263652561106379,FALSE,0.883949696338957,FALSE
-1,"max","bo",0.543509374587261,0.619340354030968,FALSE,0.728840156372436,FALSE
-1,"mean","bo",0.726399430411127,0.322289597197104,FALSE,0.830678263485181,FALSE
