"Parameter","Rho","P_value","P_adjusted"
"Thickness_GCL.IPL",-0.28021978021978,0.353763635633679,0.498310723042523
"Thickness_OuterRetina",0.296703296703297,0.324921588485975,0.498310723042523
"Thickness_Retina",0.269230769230769,0.373733042281892,0.498310723042523
"Thickness_INL",0,1,1
