"Parameter","Rho","P_value","P_adjusted"
"Thickness_INL",0.642857142857143,0.0855588910126731,0.310580712866797
"Thickness_OuterRetina",0.476190476190476,0.232935534650098,0.310580712866797
"Thickness_Retina",0.476190476190476,0.232935534650098,0.310580712866797
"Thickness_GCL.IPL",0.0476190476190476,0.910849168519584,0.910849168519584
