"Parameter","OR","OR_Lower","OR_Upper","P_Value","P_Adjusted","Significant","Definition"
"1w",0.59993066004851,0.040358234691621,6.14041030771631,1,1,FALSE,"高于中位数"
"1w",0.467848292081055,0.00764022811147816,6.78763210431305,1,1,FALSE,"高于75%分位数"
"1m",0.809350704023897,0.0538314136795367,8.56314058879339,1,1,FALSE,"高于中位数"
"1m",1.09442362363222,0.0155753360460408,26.0783949419364,1,1,FALSE,"高于75%分位数"
