"day","stat_type","rhr_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-7,"cv","rhr_1",11,8,10.6744666639035,14.1716817522107,5.37358164643649,4.06761449606114,0.124929725452767,-0.733853938596563,FALSE,0.124929725452767,FALSE
-7,"cv","rhr_50",11,8,9.0424573224918,10.7752930640069,2.9735170922603,1.86747943518161,0.138328530443839,-0.697916519967394,FALSE,0.142067139374753,FALSE
-7,"iqr","rhr_1",11,8,10.1590909090909,13.75,2.64166786158084,4.94974746830583,0.0916567658828763,-0.905134295767055,FALSE,0.25817749627413,FALSE
-7,"iqr","rhr_50",11,8,10.25,10,4.36319836816985,1.79284291400159,0.866501176685778,0.0749501613290575,FALSE,0.866501176685778,FALSE
-7,"kurt","rhr_1",11,8,5.80473159977293,3.91325806304313,4.77588842718695,1.26649186397249,0.233874725990078,0.541381855703183,FALSE,0.903081492114113,FALSE
-7,"kurt","rhr_50",11,8,4.65890759897813,4.18035694810943,2.98999630782499,1.47581842686201,0.652363926830896,0.202967858970777,FALSE,0.914827796639308,FALSE
-7,"max","rhr_1",11,8,119.454545454545,105.625,28.033421611939,12.1882554710907,0.166283678816074,0.639809048057962,FALSE,0.380904884843391,FALSE
-7,"max","rhr_50",11,8,110.818181818182,107.125,16.302258627676,9.09375767059078,0.538271277984816,0.27979450442118,FALSE,0.72771714606334,FALSE
-7,"mean","rhr_1",11,8,79.9418885384358,67.5744763986371,6.35626980120564,3.73018475008393,6.35011789091156e-05,2.37316626697364,TRUE,0.000198522437256989,TRUE
-7,"mean","rhr_50",11,8,87.2528985369577,79.7364529895762,7.45747435115151,5.36487292082415,0.020492411095615,1.15708998454824,TRUE,0.0235973218676779,TRUE
-7,"median","rhr_1",11,8,79.1818181818182,65.125,6.64557268891375,4.51782185192315,4.05101541526294e-05,2.47384224457599,TRUE,0.000150557352996343,TRUE
-7,"median","rhr_50",11,8,87.2272727272727,78.75,8.09741821929569,5.84929788216378,0.0168607661606279,1.20017350048103,TRUE,0.0200221598157456,TRUE
-7,"min","rhr_1",11,8,58.2727272727273,50.25,9.19881415282328,6.60627407415535,0.0409017188421037,1.0018198902303,TRUE,0.0420071707027011,TRUE
