"day","stat_type","n_cataract","n_no_surgery","mean_cataract","mean_no_surgery","sd_cataract","sd_no_surgery","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
5,"mean",6,5,4.43361852202401,5.6437091966282,3.54412332468315,3.38045092893051,0.577598499790511,-0.349408568351866,FALSE,0.937076805609199,FALSE
5,"median",6,5,0,0,0,0,NA,NA,NA,NA,NA
5,"total",6,5,5810.16666666667,7297,5577.57981266666,4882.1039521911,0.648685750599798,-0.283671577545638,FALSE,0.916356170036914,FALSE
6,"max",6,5,106.333333333333,126.4,47.7479493451464,8.26438140455775,0.355298080311975,-0.585633315643263,FALSE,0.980430648349726,FALSE
6,"mean",6,5,5.48925808963466,6.7712807775006,4.03626802327721,1.28097295612097,0.48939741966397,-0.428146196255995,FALSE,0.937076805609199,FALSE
6,"median",6,5,0,0,0,0,NA,NA,NA,NA,NA
6,"total",6,5,7415.5,8329.4,5984.7960282703,2803.01610769542,0.748585854356679,-0.195568450764109,FALSE,0.916356170036914,FALSE
7,"max",6,5,102.5,122.6,30.0715812686995,23.9854122332721,0.248851600279128,-0.738990565542667,FALSE,0.980430648349726,FALSE
7,"mean",6,5,5.74711737128779,6.66450784055878,4.26338718083072,3.03098310321618,0.687435658136605,-0.248018888621829,FALSE,0.937076805609199,FALSE
7,"median",6,5,0,0,0,0,NA,NA,NA,NA,NA
7,"total",6,5,6454.33333333333,7973.6,6777.35767586946,3241.1101184625,0.640720913595556,-0.285999725535198,FALSE,0.916356170036914,FALSE
8,"max",7,5,110.857142857143,114.2,48.8413369030393,28.9257670598378,0.885116110131959,-0.0832833475365005,FALSE,0.980430648349726,FALSE
8,"mean",7,5,6.42661546140838,5.85789785431115,3.5974859333831,4.13281175185282,0.81052665210162,0.146788349227494,FALSE,0.937076805609199,FALSE
8,"median",7,5,0,0,0,0,NA,NA,NA,NA,NA
8,"total",7,5,6466.14285714286,6012,5360.40680758999,3734.16222197162,0.866127030802554,0.0983118388332008,FALSE,0.916356170036914,FALSE
9,"max",7,5,113.428571428571,131.4,38.750729639828,19.539703170724,0.318698074518916,-0.585631083654619,FALSE,0.980430648349726,FALSE
9,"mean",7,5,6.07351396783207,10.7677063672627,3.81436041067442,4.5674403829202,0.0986893501133602,-1.11559784080227,FALSE,0.795232831241145,FALSE
9,"median",7,5,0,0,0,0,NA,NA,NA,NA,NA
