"Parameter","P_Value","P_Adjusted","Significant","Effect_Size","Mean_Cluster1","Mean_Cluster2","Mean_Diff"
"1w",0.473,0.658,FALSE,0.346436280479836,0.353636363636364,0.2625,-0.0911363636363636
"1m",0.658,0.658,FALSE,0.207316961219019,0.419,0.366666666666667,-0.0523333333333333
