"Parameter","OR","OR_Lower","OR_Upper","P_Value","P_Adjusted","Significant","Definition"
"1w",0.184326111523789,0.00290016814205189,2.97437248283307,0.262125902992776,1,FALSE,"改善(>0)"
"1w",0.732556363498884,0.0735986154540207,6.40469177570679,1,1,FALSE,"高于中位数"
"1w",0.894393277183823,0.0572343907292679,10.7063770462782,1,1,FALSE,"高于75%分位数"
"1m",0.761454514377903,0.0753629917548478,6.93355347315643,1,1,FALSE,"高于中位数"
"1m",0.518108200218337,0.00755383060876123,11.9039935913432,1,1,FALSE,"高于75%分位数"
