"Time_Window","Outcome_Type","Outcome_Parameter","N_Total","Cluster1_N","Cluster2_N","Cluster1_Mean","Cluster1_SD","Cluster1_Median","Cluster2_Mean","Cluster2_SD","Cluster2_Median","Mean_Difference","T_Statistic","T_P_Value","T_CI_Lower","T_CI_Upper","Welch_T_Statistic","Welch_P_Value","MW_U_Statistic","MW_P_Value","Cohens_D","Hedges_G","Glass_Delta1","Glass_Delta2","Effect_Size_Category","Better_Cluster","Better_Cluster_N","Better_Cluster_Mean","Worse_Cluster_Mean","Percent_Improvement","T_Significant","Welch_Significant","MW_Significant","Parameter_Type_Detailed","Parameter_Major_Type","Welch_P_Value_FDR_Strategy1","Welch_Significant_FDR_Strategy1","Tests_in_Group_Strategy1","Welch_P_Value_FDR_Strategy2","Welch_Significant_FDR_Strategy2","Tests_in_Group_Strategy2","Welch_P_Value_FDR_Strategy3","Welch_Significant_FDR_Strategy3","Tests_in_Group_Strategy3","Welch_P_Value_FDR_Global","Welch_Significant_FDR_Global","Tests_in_Global"
"mid_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,6,5,-2.90706666666667,2.96368087665772,-2.54545,3.25238,10.6040549490278,-1.0061,6.15944666666667,-1.25852214714013,0.269259706195367,-19.1507200538699,6.8318267205366,-1.25852214714013,0.269259706195367,10,0.428571428571429,0.831631581838975,0.760348874824205,2.07830968414284,0.580857671548694,"Large",2,5,3.25238,-2.90706666666667,211.878411227813,FALSE,FALSE,FALSE,"Thickness_GCL_IPL","Thickness",0.269259706195367,FALSE,1,0.269259706195367,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"mid_recovery","OCTA","Thickness_INL_0_21_improvement",11,6,5,-1.906,3.60295022724433,-0.99385,3.70342,8.64999199375352,0.0716000000000037,5.60942,-1.35539055112639,0.231664578554799,-16.1530968406894,4.93425684068936,-1.35539055112639,0.231664578554799,8,0.246753246753247,0.881803478748813,0.806220323427486,1.55689633389421,0.648488461498088,"Large",2,5,3.70342,-1.906,294.303252885624,FALSE,FALSE,FALSE,"Thickness_INL","Thickness",0.231664578554799,FALSE,1,0.269259706195367,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"mid_recovery","OCTA","Thickness_OuterRetina_0_21_improvement",11,6,5,-10.0413833333333,9.68844879522345,-9.53,8.11862,19.1071149028837,0.7697,18.1600033333333,-1.92863625465287,0.104682335002649,-41.5091102045523,5.18910353788567,-1.92863625465287,0.104682335002649,4,0.051948051948052,1.24021521787497,1.13391105634283,1.87439741047984,0.950431471503455,"Large",2,5,8.11862,-10.0413833333333,180.851609091045,FALSE,FALSE,FALSE,"Other","Other",0.104682335002649,FALSE,1,0.104682335002649,FALSE,1,0.521978460843209,FALSE,5,0.707468295397179,FALSE,65
"mid_recovery","OCTA","Thickness_Retina_0_21_improvement",11,6,5,-22.7527666666667,28.8561077612118,-14.39745,20.91256,51.6856983674691,-2.39290000000003,43.6653266666667,-1.68309782048229,0.143157144689909,-107.088438631979,19.7577852986453,-1.68309782048229,0.143157144689909,6,0.125541125541126,1.07500148884022,0.982858504082483,1.51320916278811,0.844824159213635,"Large",2,5,20.91256,-22.7527666666667,191.912163062953,FALSE,FALSE,FALSE,"Thickness_Retina","Thickness",0.143157144689909,FALSE,1,0.269259706195367,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"late_recovery","OCTA","PA_Choroid_0_21_improvement",12,4,8,-9.26494999999998,5.52319651258823,-10.2571,2.9293375,5.42468543181143,2.50594999999998,12.1942875,-3.62680729466636,0.0110255519825473,-20.4233782685934,-3.9651967314066,-3.62680729466636,0.0110255519825473,2,0.0161616161616162,2.23566851087498,2.06369401003844,2.2078315468601,2.2479252766419,"Large",2,8,2.9293375,-9.26494999999998,131.617412938008,TRUE,TRUE,TRUE,"BloodFlow_Choroid","BloodFlow",0.0110255519825473,TRUE,1,0.0433339608272495,TRUE,7,0.211823764441546,FALSE,35,0.393386991105729,FALSE,65
"late_recovery","OCTA","PA_DCP_0_21_improvement",12,4,8,-3.692575,5.82513241587691,-1.9446,-0.357875,5.8811401685509,0.7798,3.3347,-0.931839756047852,0.386526843971971,-12.038978311126,5.36957831112599,-0.931839756047852,0.386526843971971,9,0.282828282828283,0.568635053457258,0.524893895499007,0.572467673165846,0.567015902432005,"Medium",2,8,-0.357875,-3.692575,90.3082537253813,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.386526843971971,FALSE,2,0.450947984633966,FALSE,7,0.661811098795424,FALSE,35,0.717835567376518,FALSE,65
"late_recovery","OCTA","PA_ICP_0_21_improvement",12,4,8,-2.16465,3.41894425858822,-1.23525,-0.0616749999999997,2.37555016109051,-0.0864000000000011,2.102975,-1.10412550076075,0.324929534463356,-7.16325800140901,2.95730800140901,-1.10412550076075,0.324929534463356,8,0.214141414141414,0.770107633480575,0.7108685847513,0.615094848275877,0.885258090713024,"Medium",2,8,-0.0616749999999997,-2.16465,97.1508095997044,FALSE,FALSE,FALSE,"BloodFlow_ICP","BloodFlow",0.324929534463356,FALSE,2,0.450947984633966,FALSE,7,0.631807428123192,FALSE,35,0.707468295397179,FALSE,65
"late_recovery","OCTA","PA_SVP_0_21_improvement",12,4,8,-2.7772,2.63660381046022,-2.593,-1.8869,3.80902112472108,-0.928599999999999,0.8903,-0.472422370460334,0.64846133977835,-5.18855475390686,3.40795475390686,-0.472422370460334,0.64846133977835,10,0.367676767676768,0.254459172435589,0.234885389940544,0.337669238157021,0.23373459239221,"Small",2,8,-1.8869,-2.7772,32.0574679533343,FALSE,FALSE,FALSE,"BloodFlow_SVP","BloodFlow",0.64846133977835,FALSE,2,0.64846133977835,FALSE,7,0.829803313382482,FALSE,35,0.846073966586061,FALSE,65
"late_recovery","OCTA","VD_DCP_0_21_improvement",12,4,8,0.78845,0.747707387061721,0.77135,-0.395425,1.4172320988966,-0.5596,1.183875,1.89369119702561,0.0879933972613058,-0.212075826308368,2.57982582630837,1.89369119702561,0.0879933972613058,26,0.109090909090909,0.943722931077784,0.871128859456416,1.58333998096808,0.835343061254201,"Large",1,4,0.78845,-0.395425,299.393058102042,FALSE,FALSE,FALSE,"BloodFlow_DCP","BloodFlow",0.175986794522612,FALSE,2,0.153988445207285,FALSE,7,0.54499460308836,FALSE,35,0.707468295397179,FALSE,65
"late_recovery","OCTA","VD_ICP_0_21_improvement",12,4,8,1.79775,1.23077301048298,1.72185,-0.8448375,1.25765376559176,-0.7945,2.6425875,3.48066962763766,0.0123811316649284,0.800880819588619,4.48429418041138,3.48066962763766,0.0123811316649284,31,0.00808080808080808,2.11466167587274,1.9519953931133,2.14709574998155,2.10120429986276,"Large",1,4,1.79775,-0.8448375,312.7924009055,TRUE,TRUE,TRUE,"BloodFlow_ICP","BloodFlow",0.0247622633298569,TRUE,2,0.0433339608272495,TRUE,7,0.211823764441546,FALSE,35,0.393386991105729,FALSE,65
"late_recovery","OCTA","VD_SVP_0_21_improvement",12,4,8,1.294675,2.12494463359244,1.1269,-2.5904125,2.21667065885337,-2.8818,3.8850875,2.94269840683529,0.024208430221891,0.696938224870136,7.07323677512986,2.94269840683529,0.024208430221891,28,0.0484848484848485,1.7743719970206,1.63788184340363,1.82832410717066,1.75266789610039,"Large",1,4,1.294675,-2.5904125,149.979491683274,TRUE,TRUE,TRUE,"BloodFlow_SVP","BloodFlow",0.048416860443782,TRUE,2,0.0564863371844123,FALSE,7,0.211823764441546,FALSE,35,0.393386991105729,FALSE,65
"late_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,3,8,-2.75096666666667,2.1224228898439,-3.3486,0.88405,8.93893473375243,-1.05535,3.63501666666667,-1.07239160447313,0.312765837871749,-11.3599416401085,4.08990830677515,-1.07239160447313,0.312765837871749,7,0.375757575757576,0.457428349698867,0.418220205438964,1.71267313599978,0.406649872153249,"Small",2,8,0.88405,-2.75096666666667,132.135976444644,FALSE,FALSE,FALSE,"Thickness_GCL_IPL","Thickness",0.312765837871749,FALSE,1,0.312765837871749,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"late_recovery","OCTA","Thickness_INL_0_21_improvement",11,3,8,-3.1889,3.28023410597475,-2.7452,2.080975,7.24961610151087,0.292200000000001,5.269875,-1.65361105414462,0.135937500773695,-12.5895914201154,2.04984142011542,-1.65361105414462,0.135937500773695,4,0.133333333333333,0.801149066197983,0.732479146238156,1.60655454145826,0.72691780174425,"Large",2,8,2.080975,-3.1889,165.25682837342,FALSE,FALSE,FALSE,"Thickness_INL","Thickness",0.135937500773695,FALSE,1,0.312765837871749,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"late_recovery","OCTA","Thickness_OuterRetina_0_21_improvement",11,3,8,-6.94453333333333,5.82218439791572,-5.2811,0.1473,19.4625828510577,-1.1853,7.09183333333332,-0.926042312494481,0.378705381854037,-24.4292850004169,10.2456183337502,-0.926042312494481,0.378705381854037,8,0.496969696969697,0.4079885485427,0.373018101524754,1.21807089034695,0.364382948943897,"Small",2,8,0.1473,-6.94453333333333,102.121092850012,FALSE,FALSE,FALSE,"Other","Other",0.378705381854037,FALSE,1,0.378705381854037,FALSE,1,0.631175636423395,FALSE,5,0.717835567376518,FALSE,65
"late_recovery","OCTA","Thickness_Retina_0_21_improvement",11,3,8,-18.8875,14.8332752286877,-15.9404,3.0885875,51.4854300534609,-2.81235000000002,21.9760875,-1.09242452854492,0.303291763423312,-67.5509785371755,23.5988035371755,-1.09242452854492,0.303291763423312,6,0.278787878787879,0.478353071767282,0.437351379901515,1.48153979220301,0.426840903866991,"Small",2,8,3.0885875,-18.8875,116.352547981469,FALSE,FALSE,FALSE,"Thickness_Retina","Thickness",0.303291763423312,FALSE,1,0.312765837871749,FALSE,3,0.521276396452915,FALSE,15,0.707468295397179,FALSE,65
"baseline","VA","vision_improvement_1w",11,5,6,0.12,0.0836660026534075,0.1,0.1325,0.174749821173013,0.1475,0.0125,-0.155167801263525,0.88082270843686,-0.200793285107089,0.175793285107089,-0.155167801263525,0.88082270843686,16,0.926254733790504,0.0882200324563519,0.0806583153886646,0.149403576166799,0.0715308314257114,"Negligible",2,6,0.1325,0.12,10.4166666666667,FALSE,FALSE,FALSE,"Vision","Vision",0.88082270843686,FALSE,2,0.88082270843686,FALSE,2,0.88082270843686,FALSE,10,0.929610482342649,FALSE,65
"baseline","VA","vision_improvement_1m",14,5,9,0.14,0.151657508881031,0.2,0.197222222222222,0.163307821136786,0.2,0.0572222222222222,-0.657975724995017,0.527103732887879,-0.254105196548482,0.139660752104038,-0.657975724995017,0.527103732887879,19.5,0.73804929608582,0.358717388903864,0.335820534292979,0.377312159776478,0.350394866724069,"Small",2,9,0.197222222222222,0.14,40.8730158730159,FALSE,FALSE,FALSE,"Vision","Vision",0.88082270843686,FALSE,2,0.88082270843686,FALSE,2,0.753005332696971,FALSE,10,0.778675969038913,FALSE,65
"acute_recovery","VA","vision_improvement_1w",12,6,6,0.0666666666666667,0.216024689946929,0.05,0.1325,0.0808548081439811,0.1475,0.0658333333333333,-0.699115044247788,0.509176392879629,-0.293013505008141,0.161346838341475,-0.699115044247788,0.509176392879629,13,0.466456747921608,0.403634258990977,0.372585469837825,0.304749116175132,0.81421667856909,"Small",2,6,0.1325,0.0666666666666667,98.75,FALSE,FALSE,FALSE,"Vision","Vision",0.509176392879629,FALSE,2,0.509176392879629,FALSE,2,0.753005332696971,FALSE,10,0.769685245050602,FALSE,65
"acute_recovery","VA","vision_improvement_1m",15,7,8,0.111428571428571,0.192130907753765,0.2,0.186875,0.171400481329546,0.2,0.0754464285714286,-0.797683615186914,0.440308732725757,-0.281155090274922,0.130262233132065,-0.797683615186914,0.440308732725757,23,0.601548932377941,0.416225811039165,0.391741939801567,0.392682413535051,0.440176293474756,"Small",2,8,0.186875,0.111428571428571,67.7083333333333,FALSE,FALSE,FALSE,"Vision","Vision",0.509176392879629,FALSE,2,0.509176392879629,FALSE,2,0.753005332696971,FALSE,10,0.72174303553102,FALSE,65
"early_recovery","VA","vision_improvement_1w",12,5,7,0.159,0.181397353894703,0.195,0.0571428571428571,0.139727626201154,0.1,0.101857142857143,1.05225019363568,0.326523828644852,-0.125496696780284,0.329210982494569,1.05225019363568,0.326523828644852,22.5,0.460158047744523,0.645801012723806,0.596124011745051,0.561513939813415,0.728969249864071,"Medium",1,5,0.159,0.0571428571428571,178.25,FALSE,FALSE,FALSE,"Vision","Vision",0.354969827696757,FALSE,2,0.354969827696757,FALSE,2,0.753005332696971,FALSE,10,0.707468295397179,FALSE,65
"early_recovery","VA","vision_improvement_1m",15,7,8,0.199285714285714,0.181209560349074,0.2,0.11,0.177924542593603,0.15,0.0892857142857143,0.960109775242198,0.354969827696757,-0.112157471456566,0.290728900027994,0.960109775242198,0.354969827696757,33.5,0.561783974857954,0.497557097585662,0.468289033021799,0.492720770988673,0.501817866069503,"Small",1,7,0.199285714285714,0.11,81.1688311688311,FALSE,FALSE,FALSE,"Vision","Vision",0.354969827696757,FALSE,2,0.354969827696757,FALSE,2,0.753005332696971,FALSE,10,0.717835567376518,FALSE,65
"mid_recovery","VA","vision_improvement_1w",11,5,6,0.12,0.192353840616713,0.1,0.0658333333333333,0.149680214680053,0.1,0.0541666666666667,0.513341009543205,0.622442912893336,-0.191870566549804,0.300203899883137,0.513341009543205,0.622442912893336,16.5,0.854145339889006,0.318675952389256,0.291360870755891,0.281599090992936,0.361882609418018,"Small",1,5,0.12,0.0658333333333333,82.2784810126582,FALSE,FALSE,FALSE,"Vision","Vision",0.792556315713082,FALSE,2,0.792556315713082,FALSE,2,0.778053641116671,FALSE,10,0.84289144454306,FALSE,65
"mid_recovery","VA","vision_improvement_1m",14,6,8,0.133333333333333,0.136626010212795,0.15,0.159375,0.223677661889987,0.2,0.0260416666666667,-0.269099684327262,0.792556315713082,-0.237581032098692,0.185497698765358,-0.269099684327262,0.792556315713082,18.5,0.517683336738988,0.135452042141247,0.126806167110954,0.190605482997761,0.116424977114947,"Negligible",2,8,0.159375,0.133333333333333,19.53125,FALSE,FALSE,FALSE,"Vision","Vision",0.792556315713082,FALSE,2,0.792556315713082,FALSE,2,0.880618128570092,FALSE,10,0.903792289848252,FALSE,65
"late_recovery","VA","vision_improvement_1w",12,6,6,0.0658333333333333,0.149680214680053,0.1,0.133333333333333,0.175119007154183,0.15,0.0675,-0.717714044036224,0.489749805687531,-0.277743875666661,0.142743875666661,-0.717714044036224,0.489749805687531,14,0.571107272042135,0.414372396525489,0.382497596792759,0.450961405582454,0.385452162486108,"Small",2,6,0.133333333333333,0.0658333333333333,102.53164556962,FALSE,FALSE,FALSE,"Vision","Vision",0.489749805687531,FALSE,2,0.489749805687531,FALSE,2,0.753005332696971,FALSE,10,0.75794612784975,FALSE,65
"late_recovery","VA","vision_improvement_1m",15,6,9,0.0991666666666667,0.243319063508527,0.1,0.186666666666667,0.124899959967968,0.2,0.0875,-0.812392787575689,0.444149560326781,-0.343869088085867,0.168869088085867,-0.812392787575689,0.444149560326781,16,0.214692645511617,0.486330058957221,0.457722408430326,0.359610129754316,0.700560672897256,"Small",2,9,0.186666666666667,0.0991666666666667,88.2352941176471,FALSE,FALSE,FALSE,"Vision","Vision",0.489749805687531,FALSE,2,0.489749805687531,FALSE,2,0.753005332696971,FALSE,10,0.72174303553102,FALSE,65
