"Time_Window","Outcome_Type","Outcome_Parameter","N_Total","Cluster1_N","Cluster2_N","Cluster1_Mean","Cluster1_SD","Cluster1_Median","Cluster2_Mean","Cluster2_SD","Cluster2_Median","Mean_Difference","T_Statistic","T_P_Value","T_CI_Lower","T_CI_Upper","Welch_T_Statistic","Welch_P_Value","MW_U_Statistic","MW_P_Value","Cohens_D","Hedges_G","Glass_Delta1","Glass_Delta2","Effect_Size_Category","Better_Cluster","Better_Cluster_N","Better_Cluster_Mean","Worse_Cluster_Mean","Percent_Improvement","T_Significant","Welch_Significant","MW_Significant","Parameter_Type_Detailed","Region_Type","T_P_Value_FDR_Strategy1","Welch_P_Value_FDR_Strategy1","MW_P_Value_FDR_Strategy1","T_Significant_FDR_Strategy1","Welch_Significant_FDR_Strategy1","MW_Significant_FDR_Strategy1","Tests_in_Group_Strategy1","T_P_Value_FDR_Strategy2","Welch_P_Value_FDR_Strategy2","MW_P_Value_FDR_Strategy2","T_Significant_FDR_Strategy2","Welch_Significant_FDR_Strategy2","MW_Significant_FDR_Strategy2","Tests_in_Group_Strategy2","T_P_Value_FDR_Strategy3","Welch_P_Value_FDR_Strategy3","MW_P_Value_FDR_Strategy3","T_Significant_FDR_Strategy3","Welch_Significant_FDR_Strategy3","MW_Significant_FDR_Strategy3","Tests_in_Group_Strategy3"
"baseline","OCTA","PA_Choroid_0_6_improvement",11,3,8,0.2236,0.494399706715123,0.00369999999999848,-0.1862125,0.6859149602382,-0.0235500000000002,0.4098125,1.09414928271961,0.322306998715628,-0.544035193567085,1.36366019356708,1.09414928271961,0.322306998715628,16,0.496969696969697,0.632169017979404,0.577983102152598,0.828909270037528,0.597468379837762,"Medium",1,3,0.2236,-0.1862125,220.077868027119,FALSE,FALSE,FALSE,"BloodFlow_Choroid","Macular",0.322306998715628,0.322306998715628,0.496969696969697,FALSE,FALSE,FALSE,2,0.322306998715628,0.322306998715628,0.496969696969697,FALSE,FALSE,FALSE,1,0.402883748394535,0.402883748394535,0.621212121212121,FALSE,FALSE,FALSE,10
"baseline","OCTA","PA_Choroid_0_21_improvement",11,3,8,-6.31819999999999,6.88199479584227,-2.40899999999999,1.59722499999999,7.73806980320582,2.50594999999998,7.91542499999998,-1.6408065736756,0.17472121183368,-21.2017461013409,5.37089610134096,-1.6408065736756,0.17472121183368,4,0.133333333333333,1.04753803637624,0.957749061829707,1.15016433967402,1.02291982384557,"Large",2,8,1.59722499999999,-6.31819999999999,125.27974739641,FALSE,FALSE,FALSE,"BloodFlow_Choroid","Widefield",0.322306998715628,0.322306998715628,0.266666666666667,FALSE,FALSE,FALSE,2,0.17472121183368,0.17472121183368,0.133333333333333,FALSE,FALSE,FALSE,1,0.392766296042376,0.392766296042376,0.297979797979798,FALSE,FALSE,FALSE,10
"baseline","OCTA","PA_DCP_0_6_improvement",11,3,8,-0.927233333333333,1.80050843467431,-0.1579,0.1335875,1.40701746200708,0.623,1.06082083333333,-0.920515598691344,0.425681456248451,-4.74491451485321,2.62327284818655,-0.920515598691344,0.425681456248451,6,0.278787878787879,0.705620667485903,0.645138895987111,0.589178485867645,0.753950012688607,"Medium",2,8,0.1335875,-0.927233333333333,114.407107164683,FALSE,FALSE,FALSE,"BloodFlow_DCP","Macular",0.663842650705986,0.663842650705986,0.557575757575758,FALSE,FALSE,FALSE,4,0.425681456248451,0.425681456248451,0.278787878787879,FALSE,FALSE,FALSE,2,0.65489454807454,0.65489454807454,0.686868686868687,FALSE,FALSE,FALSE,20
"baseline","OCTA","PA_DCP_0_21_improvement",11,3,8,-3.19186666666667,7.39487354883999,0.845500000000001,-0.4771,5.85219899158794,0.423800000000002,2.71476666666667,-0.57220760908083,0.607218854203098,-17.8065475340367,12.3770142007033,-0.57220760908083,0.607218854203098,12,1,0.435888230853361,0.398526382494502,0.367114684076312,0.463888304305599,"Small",2,8,-0.4771,-3.19186666666667,85.0526337775179,FALSE,FALSE,FALSE,"BloodFlow_DCP","Widefield",0.663842650705986,0.663842650705986,1,FALSE,FALSE,FALSE,4,0.663842650705986,0.663842650705986,1,FALSE,FALSE,FALSE,2,0.759023567753872,0.759023567753872,1,FALSE,FALSE,FALSE,20
"baseline","OCTA","PA_ICP_0_6_improvement",11,3,8,-0.699333333333334,1.71394580524978,-0.0260000000000002,-0.0573875,1.03384269380584,-0.0361999999999996,0.641945833333334,-0.608538993226914,0.592351055932155,-4.34102322496742,3.05713155830075,-0.608538993226914,0.592351055932155,10,0.775757575757576,0.526944164822853,0.481777522123751,0.374542667199316,0.620931827616992,"Medium",2,8,-0.0573875,-0.699333333333334,91.7939704480458,FALSE,FALSE,FALSE,"BloodFlow_ICP","Macular",0.789801407909539,0.789801407909539,0.921212121212121,FALSE,FALSE,FALSE,4,0.950159848478149,0.950159848478149,0.921212121212121,FALSE,FALSE,FALSE,2,0.846215794188792,0.846215794188792,0.937229437229437,FALSE,FALSE,FALSE,20
"baseline","OCTA","PA_ICP_0_21_improvement",11,3,8,-2.18626666666667,4.62040602148051,-1.6609,-0.22295,2.24419197167138,-0.0864000000000011,1.96331666666667,-0.705444435667023,0.543606110004228,-12.3327721432485,8.40613880991517,-0.705444435667023,0.543606110004228,8,0.496969696969697,0.667114715582321,0.609933454246694,0.424922973768778,0.8748434587815,"Medium",2,8,-0.22295,-2.18626666666667,89.8022504116607,FALSE,FALSE,FALSE,"BloodFlow_ICP","Widefield",0.789801407909539,0.789801407909539,0.921212121212121,FALSE,FALSE,FALSE,4,0.543606110004228,0.543606110004228,0.496969696969697,FALSE,FALSE,FALSE,2,0.846215794188792,0.846215794188792,0.937229437229437,FALSE,FALSE,FALSE,20
"baseline","OCTA","PA_SVP_0_6_improvement",11,3,8,-1.02816666666667,1.92600473865807,-0.0657000000000001,-0.1961,1.08055713143069,-0.174,0.832066666666667,-0.707674644927511,0.539572680556562,-5.04704615862272,3.38291282528939,-0.707674644927511,0.539572680556562,10,0.775757575757576,0.632157767230453,0.577972815753557,0.432016936389473,0.770034866703428,"Medium",2,8,-0.1961,-1.02816666666667,80.9272167288053,FALSE,FALSE,FALSE,"BloodFlow_SVP","Macular",0.719430240742083,0.719430240742083,1,FALSE,FALSE,FALSE,4,0.539572680556562,0.539572680556562,0.775757575757576,FALSE,FALSE,FALSE,2,0.916583275209336,0.916583275209336,0.96969696969697,FALSE,FALSE,FALSE,20
"baseline","OCTA","PA_SVP_0_21_improvement",11,3,8,-1.72066666666666,3.5639926842424,-0.118199999999995,-2.4947,3.71290620827251,-2.6073,0.774033333333335,0.317130279350709,0.767880438438422,-6.16070453924131,7.70877120590798,0.317130279350709,0.767880438438422,12,1,0.210315995969357,0.192288910600555,0.217181515763372,0.208471017018624,"Small",1,3,-1.72066666666666,-2.4947,31.0271108082469,FALSE,FALSE,FALSE,"BloodFlow_SVP","Widefield",0.767880438438422,0.767880438438422,1,FALSE,FALSE,FALSE,4,0.767880438438422,0.767880438438422,1,FALSE,FALSE,FALSE,2,0.983199290312258,0.983199290312258,1,FALSE,FALSE,FALSE,20
"baseline","OCTA","VD_DCP_0_6_improvement",11,3,8,-1.5262,1.35275687763914,-1.8146,0.2199875,1.5053245188212,0.5171,1.7461875,-1.84760130996582,0.137668335953974,-4.36007098579719,0.867695985797193,-1.84760130996582,0.137668335953974,5,0.193939393939394,1.18563473277366,1.08400889853592,1.29083616491936,1.16000734603553,"Large",2,8,0.2199875,-1.5262,114.414067618923,FALSE,FALSE,FALSE,"BloodFlow_DCP","Macular",0.550673343815897,0.550673343815897,0.557575757575758,FALSE,FALSE,FALSE,4,0.275336671907948,0.275336671907948,0.278787878787879,FALSE,FALSE,FALSE,2,0.464285958949367,0.464285958949367,0.686868686868687,FALSE,FALSE,FALSE,20
"baseline","OCTA","VD_DCP_0_21_improvement",11,3,8,0.261466666666667,0.936886120792348,0.458600000000001,-0.0924,1.57854440364714,-0.20545,0.353866666666667,0.455301870281699,0.663842650705986,-1.51686954900946,2.22460288234279,0.455301870281699,0.663842650705986,15,0.63030303030303,0.24228775486265,0.22152023301728,0.377705100772966,0.224172766916836,"Small",1,3,0.261466666666667,-0.0924,382.972582972583,FALSE,FALSE,FALSE,"BloodFlow_DCP","Widefield",0.663842650705986,0.663842650705986,0.84040404040404,FALSE,FALSE,FALSE,4,0.663842650705986,0.663842650705986,1,FALSE,FALSE,FALSE,2,0.780991353771748,0.780991353771748,0.84040404040404,FALSE,FALSE,FALSE,20
