"cluster","floor(days_from_surgery)","day","mean_steps","se_steps"
1,-4,-4,21.240382064208,0.527038230241357
1,-3,-3,22.4221301486717,0.510285946911011
1,-2,-2,20.5496598639456,0.51974387754848
1,-1,-1,22.5413262854397,0.545028080750857
1,0,0,21.1322751322751,0.719725177044369
1,1,1,21.4267116682739,0.491132362317979
1,2,2,24.0614432007621,0.528011201260606
1,3,3,22.2921276595745,0.480957205002537
1,4,4,24.2239610056439,0.560847679673098
1,5,5,19.5889770185072,0.464203215225628
1,6,6,22.5050232786082,0.539085904807464
1,7,7,19.7404411764706,0.485952194020045
1,8,8,22.6225133430374,0.510714810093767
1,9,9,19.7461139896373,0.45951637149146
1,10,10,21.6793409378961,0.530508692791027
1,11,11,26.5544169611307,0.641124997497088
1,12,12,19.4752747252747,0.495534496100013
1,13,13,18.9833162217659,0.470276977406612
1,14,14,23.5646341463415,0.564372423176516
1,15,15,21.0027236538864,0.463065072458319
1,16,16,23.599050711966,0.522849309562164
1,17,17,20.076031713763,0.428939464064577
1,18,18,17.679461414791,0.396051386495167
1,19,19,16.9438128552689,0.379206429893726
1,20,20,21.5042062415197,0.50039144701521
1,21,21,20.9384862262637,0.468867019308665
1,22,22,18.0731815166925,0.422205695846289
1,23,23,19.7328225999521,0.468629150107403
1,24,24,21.2059627329193,0.475787841032925
1,25,25,20.5313199105145,0.532522081511825
1,26,26,17.4108896161857,0.463137588864826
1,27,27,16.1750943396226,0.404822131245468
1,28,28,18.9283405172414,0.478613377849242
1,29,29,20.4600792751982,0.472433883568636
1,30,30,10.5,2.5
2,-4,-4,47.1072664359862,1.31044289511782
2,-3,-3,49.3367441860465,1.39702353732907
2,-2,-2,63.7518427518428,1.34157268697662
2,-1,-1,51.3840996168582,1.45468797177433
2,0,0,36.6246550137994,1.13248814117325
2,1,1,40.026558891455,1.25003591727516
2,2,2,53.1890999174236,1.16246730182596
2,3,3,48.9207407407407,1.07980300618623
2,4,4,46.6619950535862,1.11665282744806
2,5,5,46.7236723672367,1.21696481921852
2,6,6,50.6518987341772,1.18594559041963
2,7,7,47.2217125382263,1.11706061063706
2,8,8,47.3137254901961,1.18431635867266
2,9,9,52.5169785169785,1.05039714254431
2,10,10,47.1917057902973,1.16950053905113
2,11,11,50.8950995405819,1.17063653884736
2,12,12,50.2358559882439,1.16321788932953
2,13,13,51.5328582739509,1.26202723271815
2,14,14,41.8958579881657,1.52889792477661
2,15,15,45.754113345521,1.39964408979733
2,16,16,40.9051042415528,1.15993787415533
2,17,17,45.667349726776,1.04951859701901
2,18,18,50.3157063930545,1.27129348814354
2,19,19,54.8146153846154,1.20198418751496
2,20,20,60.8466019417476,1.12127120975241
2,21,21,50.5717455621302,1.21876643516973
2,22,22,47.1244897959184,1.18573067291776
2,23,23,51.8229813664596,1.10698730141952
2,24,24,48.6023017902813,1.09615407968567
2,25,25,54.8607322325915,1.16108987560018
2,26,26,58.6998341625207,1.30598522996806
2,27,27,53.0049964311206,1.17408346890554
2,28,28,54.7898916967509,1.15538824011437
2,29,29,53.6302046577276,1.11952192469665
2,30,30,17,NA
