"cluster","n","mean_steps","sd_mean_steps","mean_sd_steps","mean_min_steps","mean_max_steps"
1,7,22.9448049242532,NA,32.1273235396257,0,149.285714285714
2,3,12.440136417044,NA,26.3239283408016,0,173
3,4,31.4829518599954,NA,32.1934335643569,0,159
