"cluster","n","mean_steps","sd_mean_steps","mean_sd_steps","mean_min_steps","mean_max_steps"
1,7,33.3663674547978,NA,34.651362371811,0,160.571428571429
2,6,50.719031939769,NA,42.808852113151,0,158.166666666667
3,7,15.1700494032327,NA,24.9840652566975,0,158.714285714286
