"cluster","floor(days_from_surgery)","day","mean_steps","se_steps"
1,-4,-4,29.9703872437358,0.858569549550931
1,-3,-3,24.96269296741,0.684205322206147
1,-2,-2,22.7023086269745,0.659297570890701
1,-1,-1,26.3191111111111,0.73493699080935
1,0,0,23.6576058546785,0.740222437033159
1,1,1,27.1758767268863,0.767101093476916
1,2,2,23.811095827602,0.670799256403382
1,3,3,20.9911111111111,0.651247479022605
1,4,4,21.3667436489607,0.696547928741051
1,5,5,34.0554117037804,0.819142971634222
1,6,6,19.3460264900662,0.733574531059495
1,7,7,16.2681369704005,0.659814169534564
1,8,8,24.1565160445318,0.782543967666831
1,9,9,23.2657442748092,0.686991789845484
1,10,10,19.879754601227,0.758623256035094
1,11,11,20.8699619771863,0.887118329381787
1,12,12,27.6451923076923,1.10447027582316
1,13,13,23.3795620437956,1.04876610981425
1,14,14,22.4476495726496,1.02919772092206
1,15,15,20.5246179966044,0.881755257440447
1,16,16,23.9971319311663,1.02174702552947
1,17,17,19.7616926503341,1.32294236041913
1,18,18,13.5071482317532,0.678158084117372
1,19,19,17.436974789916,0.864860164186188
1,20,20,20.251376146789,0.88248964999907
1,21,21,18.5766634522662,0.63280912623341
1,22,22,19.7570742124933,0.725333250521007
1,23,23,22.7126086956522,0.715505626529761
1,24,24,23.1327040533037,0.800605777288174
1,25,25,25.6298701298701,0.967703558190265
1,26,26,18.2028169014085,0.657431276915909
1,27,27,25.9346761023408,0.823448938299651
1,28,28,16.6156739811912,0.667518806085673
1,29,29,23.3614457831325,1.23950577954396
2,-4,-4,13.3208661417323,1.02538065620834
2,-3,-3,10.1408695652174,0.664874040496267
2,-2,-2,8.3637515842839,0.604395198765386
2,-1,-1,11.305582761998,0.762480204138139
2,0,0,13.1401077752117,0.718022489314789
2,1,1,10.603889457523,0.820997803956428
2,2,2,28.4015645371578,1.49932232228739
2,3,3,31.1112956810631,1.55052972893489
2,4,4,29.7180616740088,1.77432335166276
2,5,5,23.0180436847104,1.27105972935158
2,6,6,17.8125,0.945464339535254
2,7,7,21.0918114143921,1.29252038723901
2,8,8,12.2448224852071,0.774266089412847
2,9,9,13.0952012383901,0.760180887988078
2,10,10,11.7937336814621,0.695168540030601
2,11,11,10.8670133729569,0.749030905356312
2,12,12,13.95101171459,0.955602880997078
2,13,13,9.83188211654387,0.61563233967852
2,14,14,11.465601965602,0.697484499208462
2,15,15,11.8619979402678,0.922921282584458
2,16,16,9.22369291859696,0.688966988050535
2,17,17,8.66805411030177,0.513482761424404
2,18,18,8.88840579710145,0.601657185376678
2,19,19,6.29021179164282,0.429755353176123
2,20,20,21.1957796014068,1.00148104087225
2,21,21,10.5919335705813,0.78770838883078
2,22,22,11.9433164128596,0.792047502571327
2,23,23,8.48841607565012,0.570426130552944
2,24,24,7.11171662125341,0.508177228884741
2,25,25,7.33775981524249,0.510022785652301
2,26,26,7.7464200477327,0.620427627958872
2,27,27,14.1120448179272,0.964405999981803
2,28,28,14.4156079854809,0.844791091900622
2,29,29,13.0676818950931,0.88301296557701
3,-4,-4,23.1280087527352,0.863287179699391
3,-3,-3,18.4365572315883,0.815263127661232
3,-2,-2,21.362540192926,0.8516644146191
3,-1,-1,30.9338582677165,1.27927379760328
3,0,0,35.5134920634921,0.97303715125691
3,1,1,34.6475535168196,0.900793930832649
3,2,2,28.255391600454,0.832226511852357
3,3,3,31.8400392541708,0.952601158444655
3,4,4,33.444863336475,0.984504644444532
3,5,5,29.1776315789474,1.01124215799797
3,6,6,28.4486754966887,0.897126852337532
3,7,7,33.7955112219451,0.928275116904577
3,8,8,29.9249771271729,0.917782558349621
3,9,9,40.5526315789474,1.06669876265718
3,10,10,36.1723756906077,1.08910966655356
3,11,11,25.6595067621321,0.846024547028247
3,12,12,33.1190661478599,0.934759476240743
3,13,13,31.9160432252702,0.963952267037735
3,14,14,33.0195804195804,1.26598047372777
3,15,15,32.740674955595,1.23574421620804
3,16,16,30.5072639225182,1.07264251867813
3,17,17,28.3244575936884,0.900986428004152
3,18,18,35.5383141762452,1.52125827651664
3,19,19,31.2240587695133,0.917524996298324
3,20,20,35.5811074918567,0.929725574858801
3,21,21,34.8438697318008,1.08428482204163
3,22,22,38.9417085427136,1.14271041984495
3,23,23,31.6646288209607,0.861294178355571
3,24,24,29.7603448275862,0.84910936432285
3,25,25,28.9029038112523,0.923570176837567
3,26,26,30.0156709108717,0.992806871894846
3,27,27,23.9486215538847,0.901645957943907
3,28,28,29.2548794489093,0.977237683368539
3,29,29,34.8204419889503,1.26500126913473
