"Parameter","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Significant","P_Adjusted","Significant_Adjusted"
"age",63.0769230769231,48.8,-14.2769230769231,6.30334654740361e-06,"Yes",2.52133861896144e-05,"Yes"
"post_vision_1m",0.356153846153846,0.72,0.363846153846154,0.00037427811965502,"Yes",0.00074855623931004,"Yes"
"pre_vision",0.247307692307692,0.58,0.332692307692308,0.000938223997388604,"Yes",0.00125096532985147,"Yes"
"vision_improvement_1m",0.108846153846154,0.14,0.0311538461538462,0.664438686197938,"No",0.664438686197938,"No"
