"Parameter","OR","OR_Lower","OR_Upper","P_Value","P_Adjusted","Significant"
"VD_DCP",0,0,1.16892844179334,0.0333333333333333,0.233333333333333,FALSE
"VD_ICP",0,0,1.91276672260201,0.0666666666666666,0.233333333333333,FALSE
"VD_SVP",0,0,3.40592128036766,0.2,0.466666666666667,FALSE
"PA_Choroid",0.69379298297644,0.00851223776328868,20.2967150395671,1,1,FALSE
"PA_DCP",1.4413521389477,0.049269056497594,117.477921529962,1,1,FALSE
"PA_ICP",0.414211845799713,0.00511109002908966,11.7998552807741,1,1,FALSE
"PA_SVP",0.414211845799713,0.00511109002908966,11.7998552807741,1,1,FALSE
