"day","stat_type","p_value","significant","p_adjusted","significant_adjusted"
-7,"cv",0.598181935773838,FALSE,0.909236542376234,FALSE
-7,"iqr",0.795447578888789,FALSE,0.947973120131894,FALSE
-7,"kurt",0.316086307777912,FALSE,0.743164297900831,FALSE
-7,"max",0.383664795025811,FALSE,0.81286266184694,FALSE
-7,"mean",0.0297106090189278,TRUE,0.18816719045321,FALSE
-7,"median",0.0173925780031131,TRUE,0.104329909038651,FALSE
-7,"min",0.270214725158092,FALSE,0.891010076864481,FALSE
-7,"sd",0.602044291722997,FALSE,0.915107323418955,FALSE
-7,"skew",0.290399663006,FALSE,0.872720395533392,FALSE
-6,"cv",0.521771266929857,FALSE,0.859484304345909,FALSE
-6,"iqr",0.434135020776059,FALSE,0.947973120131894,FALSE
-6,"kurt",0.537686484772979,FALSE,0.743164297900831,FALSE
-6,"max",0.3087038940714,FALSE,0.808025590088051,FALSE
-6,"mean",0.644006866954196,FALSE,0.719772380713513,FALSE
-6,"median",0.556224028673526,FALSE,0.660516034049812,FALSE
-6,"min",0.424904484786907,FALSE,0.897020578994582,FALSE
-6,"sd",0.521303396594046,FALSE,0.861283872633642,FALSE
-6,"skew",0.833836507262028,FALSE,0.920696781937366,FALSE
-5,"cv",0.809296350909446,FALSE,0.963170380459082,FALSE
-5,"iqr",0.81037604008419,FALSE,0.947973120131894,FALSE
-5,"kurt",0.463836151486249,FALSE,0.743164297900831,FALSE
-5,"max",0.403025871547779,FALSE,0.81286266184694,FALSE
-5,"mean",0.610513036358687,FALSE,0.703015011564549,FALSE
-5,"median",0.0677053141303532,FALSE,0.214400161412785,FALSE
-5,"min",0.700827079980332,FALSE,0.985831760897157,FALSE
-5,"sd",0.78602368960985,FALSE,0.96940502089025,FALSE
-5,"skew",0.140397918918192,FALSE,0.861979265734003,FALSE
-4,"cv",0.43899462855753,FALSE,0.834089794259307,FALSE
-4,"iqr",0.526685924391971,FALSE,0.947973120131894,FALSE
-4,"kurt",0.33705723645747,FALSE,0.743164297900831,FALSE
-4,"max",0.420028222590137,FALSE,0.81286266184694,FALSE
-4,"mean",0.0895094877097408,FALSE,0.268841093042256,FALSE
-4,"median",0.118297736693597,FALSE,0.280957124647293,FALSE
-4,"min",0.202399870385211,FALSE,0.769119507463801,FALSE
-4,"sd",0.380686565951136,FALSE,0.766551647188657,FALSE
-4,"skew",0.222948310314235,FALSE,0.861979265734003,FALSE
-3,"cv",0.500156772496636,FALSE,0.859484304345909,FALSE
-3,"iqr",0.550190663862499,FALSE,0.947973120131894,FALSE
-3,"kurt",0.246049885767512,FALSE,0.743164297900831,FALSE
-3,"max",0.0432460427759486,TRUE,0.517781849853962,FALSE
-3,"mean",0.333282378905113,FALSE,0.469064088829419,FALSE
-3,"median",0.715465389374337,FALSE,0.799637788124259,FALSE
-3,"min",0.985831760897157,FALSE,0.985831760897157,FALSE
-3,"sd",0.501835126316084,FALSE,0.861283872633642,FALSE
-3,"skew",0.534826368387443,FALSE,0.920696781937366,FALSE
-2,"cv",0.861784024621284,FALSE,0.963170380459082,FALSE
-2,"iqr",0.784269933608121,FALSE,0.947973120131894,FALSE
-2,"kurt",0.602497411014367,FALSE,0.746895625392103,FALSE
-2,"max",0.139722467264247,FALSE,0.562714665104581,FALSE
-2,"mean",0.144578269074592,FALSE,0.289156538149185,FALSE
-2,"median",0.0234098081925607,TRUE,0.111196588914663,FALSE
-2,"min",0.586743146930256,FALSE,0.985831760897157,FALSE
-2,"sd",0.88538012816742,FALSE,0.96940502089025,FALSE
-2,"skew",0.625743581373867,FALSE,0.920696781937366,FALSE
-1,"cv",0.707469333337122,FALSE,0.963170380459082,FALSE
-1,"iqr",0.400505745269947,FALSE,0.947973120131894,FALSE
-1,"kurt",0.553534170662446,FALSE,0.743164297900831,FALSE
-1,"max",0.991834394311076,FALSE,0.991834394311076,FALSE
-1,"mean",0.347531117954484,FALSE,0.4716493743668,FALSE
-1,"median",0.370625556299894,FALSE,0.541683505361384,FALSE
-1,"min",0.676621887353476,FALSE,0.985831760897157,FALSE
-1,"sd",0.682813285770995,FALSE,0.96940502089025,FALSE
-1,"skew",0.617912464831733,FALSE,0.920696781937366,FALSE
0,"cv",0.279872904865733,FALSE,0.800280381473373,FALSE
0,"iqr",0.898079798019689,FALSE,0.947973120131894,FALSE
0,"kurt",0.783936278765551,FALSE,0.827488294252526,FALSE
0,"max",0.0526975823535912,FALSE,0.517781849853962,FALSE
0,"mean",0.0194011998691875,TRUE,0.147449119005825,FALSE
0,"median",0.00869976523193867,TRUE,0.0826477697034174,FALSE
0,"min",0.354850876633947,FALSE,0.897020578994582,FALSE
0,"sd",0.306908408649217,FALSE,0.766551647188657,FALSE
0,"skew",0.744753763122912,FALSE,0.920696781937366,FALSE
1,"cv",0.0708989993782046,FALSE,0.800280381473373,FALSE
1,"iqr",0.0432096739195595,TRUE,0.54732253631442,FALSE
1,"kurt",0.334885475274288,FALSE,0.743164297900831,FALSE
1,"max",0.353730943896724,FALSE,0.81286266184694,FALSE
1,"mean",0.0987271069808703,FALSE,0.268841093042256,FALSE
1,"median",0.247971350362347,FALSE,0.428314150625871,FALSE
1,"min",0.12650197393142,FALSE,0.686725001341995,FALSE
1,"sd",0.0752012645787427,FALSE,0.766551647188657,FALSE
1,"skew",0.35928356401282,FALSE,0.872720395533392,FALSE
2,"cv",0.275812420986139,FALSE,0.800280381473373,FALSE
2,"iqr",0.597947382941246,FALSE,0.947973120131894,FALSE
2,"kurt",0.485555997839145,FALSE,0.743164297900831,FALSE
