"day","stat_type","p_value","significant","p_adjusted","significant_adjusted"
-7,"cv",0.264294649818054,FALSE,0.741578878899051,FALSE
-7,"iqr",0.388943397696327,FALSE,0.92501795876397,FALSE
-7,"kurt",0.226186242060009,FALSE,0.691008394953964,FALSE
-7,"max",0.374056935102567,FALSE,0.676864930185598,FALSE
-7,"mean",0.107867231100608,FALSE,0.372632252893011,FALSE
-7,"median",0.0460726218067617,TRUE,0.212612616960099,FALSE
-7,"min",0.200485198667208,FALSE,0.543078645530735,FALSE
-7,"sd",0.257881509445397,FALSE,0.762966567191472,FALSE
-7,"skew",0.200064718709019,FALSE,0.584804562380211,FALSE
-6,"cv",0.785441560839133,FALSE,0.901222082926891,FALSE
-6,"iqr",0.658361077482117,FALSE,0.92501795876397,FALSE
-6,"kurt",0.56290462998456,FALSE,0.881238955983203,FALSE
-6,"max",0.467529346494528,FALSE,0.710644606671682,FALSE
-6,"mean",0.899490325344762,FALSE,0.935437803599935,FALSE
-6,"median",0.694658259926791,FALSE,0.79990951143085,FALSE
-6,"min",0.448898357977947,FALSE,0.741658156659217,FALSE
-6,"sd",0.785284123130249,FALSE,0.900489791052129,FALSE
-6,"skew",0.558400241199908,FALSE,0.909239744296949,FALSE
-5,"cv",0.96696229751427,FALSE,0.981573335194429,FALSE
-5,"iqr",0.441352200731896,FALSE,0.92501795876397,FALSE
-5,"kurt",0.470053588799018,FALSE,0.850573160683938,FALSE
-5,"max",0.60152507746365,FALSE,0.746915680713559,FALSE
-5,"mean",0.55221349000064,FALSE,0.755571858622732,FALSE
-5,"median",0.152809268158461,FALSE,0.341573658236561,FALSE
-5,"min",0.55314586706364,FALSE,0.87581428951743,FALSE
-5,"sd",0.960477663290455,FALSE,0.973453417583519,FALSE
-5,"skew",0.119579407012643,FALSE,0.413092496952768,FALSE
-4,"cv",0.644363335518579,FALSE,0.871146201641087,FALSE
-4,"iqr",0.406929913730719,FALSE,0.92501795876397,FALSE
-4,"kurt",0.411061762518575,FALSE,0.787433638122596,FALSE
-4,"max",0.563836413413593,FALSE,0.746915680713559,FALSE
-4,"mean",0.198502823761808,FALSE,0.380660777573497,FALSE
-4,"median",0.352833030836081,FALSE,0.545063158226791,FALSE
-4,"min",0.371744308657719,FALSE,0.672680177571111,FALSE
-4,"sd",0.588078549363676,FALSE,0.855041460278829,FALSE
-4,"skew",0.47279883780991,FALSE,0.893571851385447,FALSE
-3,"cv",0.664822101252408,FALSE,0.871146201641087,FALSE
-3,"iqr",0.78594165644774,FALSE,0.933305717031691,FALSE
-3,"kurt",0.379001894080805,FALSE,0.787433638122596,FALSE
-3,"max",0.0715164559313452,FALSE,0.559369057912493,FALSE
-3,"mean",0.567573202600275,FALSE,0.755571858622732,FALSE
-3,"median",0.856823445595796,FALSE,0.930265455218293,FALSE
-3,"min",0.150202854597751,FALSE,0.518882588610412,FALSE
-3,"sd",0.656609646265913,FALSE,0.860385053727748,FALSE
-3,"skew",0.455861449453293,FALSE,0.893571851385447,FALSE
-2,"cv",0.300628280636094,FALSE,0.741578878899051,FALSE
-2,"iqr",0.935884238158005,FALSE,0.96117840675687,FALSE
-2,"kurt",0.685798306004339,FALSE,0.881238955983203,FALSE
-2,"max",0.238038596335029,FALSE,0.565341666295694,FALSE
-2,"mean",0.038142649470522,TRUE,0.303713138702606,FALSE
-2,"median",0.00860247552883753,TRUE,0.0769712274113702,FALSE
-2,"min",0.781783096802916,FALSE,0.984916786709057,FALSE
-2,"sd",0.318588055892489,FALSE,0.762966567191472,FALSE
-2,"skew",0.889006490653095,FALSE,0.914820670813338,FALSE
-1,"cv",0.806356600513534,FALSE,0.901222082926891,FALSE
-1,"iqr",0.671936138554995,FALSE,0.92501795876397,FALSE
-1,"kurt",0.792255030028228,FALSE,0.881238955983203,FALSE
-1,"max",0.710751178848681,FALSE,0.782272780448129,FALSE
-1,"mean",0.616387568876439,FALSE,0.755571858622732,FALSE
-1,"median",0.607700922939821,FALSE,0.744923711990748,FALSE
-1,"min",0.877738614936807,FALSE,0.984916786709057,FALSE
-1,"sd",0.797463332888031,FALSE,0.900489791052129,FALSE
-1,"skew",0.817470075587792,FALSE,0.914820670813338,FALSE
0,"cv",0.563632788821742,FALSE,0.869550086878268,FALSE
0,"iqr",0.984106383231337,FALSE,0.984106383231337,FALSE
0,"kurt",0.940102544093464,FALSE,0.940102544093464,FALSE
0,"max",0.0969297665024141,FALSE,0.559369057912493,FALSE
0,"mean",0.0476690630754603,TRUE,0.303713138702606,FALSE
0,"median",0.0214628767588199,TRUE,0.135931552805859,FALSE
0,"min",0.296452117000001,FALSE,0.625843358111112,FALSE
0,"sd",0.597949645368953,FALSE,0.855041460278829,FALSE
0,"skew",0.89074644263404,FALSE,0.914820670813338,FALSE
1,"cv",0.160485003572824,FALSE,0.741578878899051,FALSE
1,"iqr",0.0741466727107273,FALSE,0.704393390751909,FALSE
1,"kurt",0.0674288433903523,FALSE,0.640574012208347,FALSE
1,"max",0.42007961944115,FALSE,0.678047543818457,FALSE
1,"mean",0.220382555437288,FALSE,0.380660777573497,FALSE
1,"median",0.511297512946572,FALSE,0.669976051447232,FALSE
1,"min",0.0142683768862632,TRUE,0.319334178959559,FALSE
1,"sd",0.170716782476013,FALSE,0.762966567191472,FALSE
1,"skew",0.0793348798063747,FALSE,0.37684067908028,FALSE
2,"cv",0.212962492929387,FALSE,0.741578878899051,FALSE
2,"iqr",0.325470755521255,FALSE,0.92501795876397,FALSE
