"day","stat_type","p_value","significant","p_adjusted","significant_adjusted"
-7,"cv",0.816800898592238,FALSE,0.891562502750856,FALSE
-7,"iqr",0.453381718187577,FALSE,0.811142638237885,FALSE
-7,"kurt",0.418681886261459,FALSE,0.72317780354252,FALSE
-7,"max",0.352396436643497,FALSE,0.553580062779858,FALSE
-7,"mean",0.211302096128425,FALSE,0.39089728506895,FALSE
-7,"median",0.13000956826694,FALSE,0.263731304837513,FALSE
-7,"min",0.811074981845236,FALSE,0.973276401936295,FALSE
-7,"sd",0.808740047830744,FALSE,0.871019641149511,FALSE
-7,"skew",0.733022710420091,FALSE,0.886479697341148,FALSE
-6,"cv",0.521081753200139,FALSE,0.891562502750856,FALSE
-6,"iqr",0.567869468176376,FALSE,0.811142638237885,FALSE
-6,"kurt",0.809992457970486,FALSE,0.961866043839952,FALSE
-6,"max",0.430878220391654,FALSE,0.629745091341647,FALSE
-6,"mean",0.684946273689522,FALSE,0.897515806903512,FALSE
-6,"median",0.798632267832623,FALSE,0.919637156898172,FALSE
-6,"min",0.234379399817454,FALSE,0.74675960307947,FALSE
-6,"sd",0.521900864411337,FALSE,0.871019641149511,FALSE
-6,"skew",0.818573437811991,FALSE,0.886479697341148,FALSE
-5,"cv",0.804437658345491,FALSE,0.891562502750856,FALSE
-5,"iqr",0.519087004388869,FALSE,0.811142638237885,FALSE
-5,"kurt",0.30923849214359,FALSE,0.694435693809033,FALSE
-5,"max",0.364197409723591,FALSE,0.553580062779858,FALSE
-5,"mean",0.921963881556104,FALSE,0.921963881556104,FALSE
-5,"median",0.111550446525119,FALSE,0.263731304837513,FALSE
-5,"min",0.479144955166789,FALSE,0.867024204587522,FALSE
-5,"sd",0.786765496830637,FALSE,0.871019641149511,FALSE
-5,"skew",0.0729548395931054,FALSE,0.358870418970654,FALSE
-4,"cv",0.35259825564096,FALSE,0.788160806726852,FALSE
-4,"iqr",0.281762040225784,FALSE,0.811142638237885,FALSE
-4,"kurt",0.635138006948973,FALSE,0.880862074555098,FALSE
-4,"max",0.303255519754911,FALSE,0.548748083366029,FALSE
-4,"mean",0.148677162117002,FALSE,0.332585772318958,FALSE
-4,"median",0.229909058056333,FALSE,0.36402267525586,FALSE
-4,"min",0.311955714624516,FALSE,0.790287810382108,FALSE
-4,"sd",0.303588554292181,FALSE,0.813442449368039,FALSE
-4,"skew",0.357268400147867,FALSE,0.754233289201053,FALSE
-3,"cv",0.695836554612383,FALSE,0.891562502750856,FALSE
-3,"iqr",0.673579788251172,FALSE,0.843251549394617,FALSE
-3,"kurt",0.190166688423972,FALSE,0.694435693809033,FALSE
-3,"max",0.0385616010796843,TRUE,0.373848904823082,FALSE
-3,"mean",0.524251226394716,FALSE,0.711483807249971,FALSE
-3,"median",0.899198695045536,FALSE,0.923501362479199,FALSE
-3,"min",0.265941478784201,FALSE,0.777367399523049,FALSE
-3,"sd",0.707415474754478,FALSE,0.871019641149511,FALSE
-3,"skew",0.232179134747657,FALSE,0.678905577110133,FALSE
-2,"cv",0.338443025797768,FALSE,0.788160806726852,FALSE
-2,"iqr",0.712311687649113,FALSE,0.843251549394617,FALSE
-2,"kurt",0.500102688632673,FALSE,0.791829257001732,FALSE
-2,"max",0.262073231170246,FALSE,0.536405338980499,FALSE
-2,"mean",0.0213452851739228,TRUE,0.142268615885665,FALSE
-2,"median",0.011868587593005,TRUE,0.108528724855691,FALSE
-2,"min",0.467875075001237,FALSE,0.867024204587522,FALSE
-2,"sd",0.365734991594253,FALSE,0.81752527532833,FALSE
-2,"skew",0.640299870592682,FALSE,0.868978395804355,FALSE
-1,"cv",0.568944238517145,FALSE,0.891562502750856,FALSE
-1,"iqr",0.410025556294666,FALSE,0.811142638237885,FALSE
-1,"kurt",0.69541742728034,FALSE,0.880862074555098,FALSE
-1,"max",0.728902398120868,FALSE,0.817623322117005,FALSE
-1,"mean",0.444693794868677,FALSE,0.675934568200388,FALSE
-1,"median",0.348514463771993,FALSE,0.473960987103858,FALSE
-1,"min",0.826602092082203,FALSE,0.973276401936295,FALSE
-1,"sd",0.549694611316386,FALSE,0.871019641149511,FALSE
-1,"skew",0.478320718834257,FALSE,0.756794312217453,FALSE
0,"cv",0.330970331519355,FALSE,0.788160806726852,FALSE
0,"iqr",0.94974869903008,FALSE,0.964679609067087,FALSE
0,"kurt",0.885375327545255,FALSE,0.964397931191041,FALSE
0,"max",0.0514972792091573,FALSE,0.373848904823082,FALSE
0,"mean",0.0369200475432676,TRUE,0.198409408822364,FALSE
0,"median",0.0161295556202261,TRUE,0.108528724855691,FALSE
0,"min",0.194997573267331,FALSE,0.74675960307947,FALSE
0,"sd",0.354128543708,FALSE,0.81752527532833,FALSE
0,"skew",0.673737002743045,FALSE,0.882827796697784,FALSE
1,"cv",0.115373217287895,FALSE,0.761957389750326,FALSE
1,"iqr",0.0747729155774813,FALSE,0.732652402727426,FALSE
1,"kurt",0.129615231454949,FALSE,0.694435693809033,FALSE
1,"max",0.196620459536451,FALSE,0.488081238281833,FALSE
1,"mean",0.175394530508163,FALSE,0.350789061016325,FALSE
1,"median",0.308212529944125,FALSE,0.450464466841413,FALSE
1,"min",0.782352783401756,FALSE,0.973276401936295,FALSE
1,"sd",0.120427770256089,FALSE,0.752339258888519,FALSE
1,"skew",0.0855394464671571,FALSE,0.358870418970654,FALSE
2,"cv",0.156550190749535,FALSE,0.761957389750326,FALSE
2,"iqr",0.263731696391522,FALSE,0.811142638237885,FALSE
2,"kurt",0.222913557035463,FALSE,0.694435693809033,FALSE
