"方法","聚类平衡度","平均隶属度","综合得分","参数数量","推荐程度"
"选择变量FCM (6个参数)",0.875,0.745829443228807,0.7253484454694,6,"推荐"
"全参数FCM (14个参数)",0.875,0.547723002214929,0.629781387108461,14,"推荐"
