"Difference_Type","Parameter","Difference","Parameter_Type","Parameter_Clean"
"Cluster 2 vs Cluster 1","pre_vision",0.0245535714285715,"Vision","pre vision"
"Cluster 2 vs Cluster 1","age",-4.83928571428572,"Vision","age"
