"k","fuzzy_coeff","cluster_balance","avg_membership","partition_coefficient","partition_entropy","silhouette_score","composite_score"
2,1.5,0.0714285714285714,0.978195089402772,0.959265144333495,0.0880779931938584,0.488883339294639,0.562771318188423
2,2,0.875,0.745829443228807,0.645306030184092,0.531076662154829,0.225384064639396,0.7253484454694
2,2.5,0.875,0.667583937335006,0.572053086232036,0.616709303221945,0.225384064639396,0.687224204910849
3,1.5,0.142857142857143,0.904351205341996,0.841077871871338,0.287853047996198,0.260840392306315,0.522747832350355
3,2,0.142857142857143,0.751760457047561,0.636538370981442,0.624380328505145,0.260840392306315,0.436062707684045
3,2.5,0.142857142857143,0.645898019014057,0.520652956877005,0.811415118176061,0.260840392306315,0.381126893453107
4,1.5,0.142857142857143,0.85999061386334,0.784380648561594,0.416809226005225,0.217865960057927,0.493802767019971
4,2,0.142857142857143,0.667763478294928,0.540122480735225,0.85219616545525,0.217865960057927,0.387282992784173
4,2.5,0.142857142857143,0.531252799068751,0.411977016766367,1.07926000510681,0.217865960057927,0.320700696222548
