"Parameter","ANOVA_P_Value","ANOVA_P_Adjusted","Significant"
"PA_SVP",0.049,0.343,FALSE
"PA_DCP",0.218,0.613666666666667,FALSE
"PA_ICP",0.263,0.613666666666667,FALSE
"PA_Choroid",0.442,0.6664,FALSE
"VD_DCP",0.476,0.6664,FALSE
"VD_SVP",0.741,0.8645,FALSE
"VD_ICP",0.982,0.982,FALSE
