"Parameter","Comparison","Mean_Diff","P_Value","P_Adjusted","Significant","Effect_Size"
"Thickness_GCL.IPL","2 vs 1",0.743066666666664,0.977,1,FALSE,0.133074269343667
"Thickness_GCL.IPL","3 vs 1",-1.32886666666667,0.929,1,FALSE,0.489713996384611
"Thickness_INL","2 vs 1",4.38163333333333,0.211,1,FALSE,1.86146350800267
"Thickness_INL","3 vs 1",-0.0357000000000034,1,1,FALSE,0.0110169619792001
"Thickness_OuterRetina","2 vs 1",8.23203333333333,0.576,1,FALSE,1.33948909147686
"Thickness_OuterRetina","3 vs 1",-1.31523333333334,0.985,1,FALSE,0.129858102351228
"Thickness_Retina","2 vs 1",19.8538666666667,0.599,1,FALSE,1.95477358368526
"Thickness_Retina","3 vs 1",-11.5218,0.833,1,FALSE,0.429486210215585
