"Parameter","Rho","P_value","P_adjusted"
"Thickness_OuterRetina",-0.563636363636364,0.0709517344763754,0.283806937905501
"Thickness_Retina",-0.427272727272727,0.189943724965427,0.379887449930854
"Thickness_INL",-0.309090909090909,0.355028439701507,0.473371252935343
"Thickness_GCL.IPL",-0.136363636363636,0.689309020586362,0.689309020586362
