"Parameter","Rho","P_value"
"Thickness_RNFL",-0.6,0.0510032607069507
"Thickness_GCL.IPL",-0.545454545454545,0.0826509573441751
"Thickness_Choroid",-0.345454545454545,0.298089220903039
"Thickness_Retina",-0.318181818181818,0.340297614181904
"Thickness_PED",-0.3,0.370083122282068
"Thickness_INL",-0.109090909090909,0.749508596234148
"Thickness_OuterRetina",0.0545454545454545,0.873446577523315
