"Parameter","Rho","P_value"
"Thickness_PED",0.428571428571428,0.337368311085824
"Thickness_Retina",0.428571428571428,0.337368311085824
"Thickness_RNFL",0.321428571428571,0.482072038299678
"Thickness_INL",0.285714285714286,0.534509228601041
"Thickness_OuterRetina",0.178571428571429,0.701657942516273
"Thickness_Choroid",0.142857142857143,0.759945300218093
"Thickness_GCL.IPL",0.142857142857143,0.759945300218093
