"Metric","Interaction_P","Diabetes_Pre_Post_Diff","Diabetes_P","No_Diabetes_Pre_Post_Diff","No_Diabetes_P"
"Total Sleep","0.849","-3.7","0.850","1.9","0.930"
"Deep Sleep","0.287","0.9","0.871","-8.0","0.198"
