"Parameter","P_Value","P_Adjusted","Significant","Effect_Size","Mean_Cluster1","Mean_Cluster2","Mean_Diff"
"1w",0.074,0.148,FALSE,1.09635160767143,0.225,0.0122727272727273,-0.212727272727273
"1m",0.858,0.858,FALSE,0.110178484513586,0.125,0.105,-0.02
