"Parameter","OR","OR_Lower","OR_Upper","P_Value","P_Adjusted","Significant","Definition"
"1w",0.603700853351591,0.00892172500530017,11.0927872293843,1,1,FALSE,"改善(>0)"
"1w",0.593877555856584,0.0307702515229672,11.2714393004912,1,1,FALSE,"高于中位数"
"1w",0.250898816126326,0.0105790754210429,5.40056870863999,0.516483516483517,1,FALSE,"高于75%分位数"
"1m",0.895781470975006,0.0127464054174462,18.1378782766282,1,1,FALSE,"改善(>0)"
"1m",0.843561937915407,0.044866989105351,15.7851824729316,1,1,FALSE,"高于中位数"
"1m",0.686055435923937,0.0254929157309819,52.2778618288102,1,1,FALSE,"高于75%分位数"
