"Parameter","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Significant","P_Adjusted","Significant_Adjusted"
"VD_ICP_0_21",1.1855625,-1.1189,-2.3044625,0.000943373307509852,"Yes",0.00660361315256896,"Yes"
"VD_SVP_0_21",0.922975,-2.4748,-3.397775,0.00690871079305991,"Yes",0.022802634628177,"Yes"
"PA_DCP_0_21",-3.976125,2.9141875,6.8903125,0.0117302190663795,"Yes",0.022802634628177,"Yes"
"VD_DCP_0_21",0.7145125,-0.6921875,-1.4067,0.0130300769303869,"Yes",0.022802634628177,"Yes"
"PA_ICP_0_21",-1.889525,2.1705125,4.0600375,0.0456536340249129,"Yes",0.063915087634878,"No"
"PA_Choroid_0_21",-8.0475625,11.3684625,19.416025,0.0810790525445781,"No",0.0945922279686744,"No"
"PA_SVP_0_21",-2.4191625,0.596475,3.0156375,0.207817548589438,"No",0.207817548589438,"No"
