"max_cluster","Count","Mean_Membership","Min_Membership","Max_Membership","Outcome_Quality"
1,8,0.661885487618336,0.590242565669372,0.705119979884602,"Better"
2,8,0.667833111073197,0.584912860797264,0.707060133422488,"Worse"
NA,9,NA,Inf,-Inf,NA
