"Parameter","Rho","P_value","P_adjusted","Significant"
"VD_ICP",0.642857142857143,0.0177924506923757,0.0769601084346137,FALSE
"VD_DCP",0.626373626373626,0.0219886024098896,0.0769601084346137,FALSE
"VD_SVP",0.5,0.0818642311656944,0.19101653938662,FALSE
"PA_Choroid",-0.428571428571429,0.143971434687836,0.251950010703713,FALSE
"PA_DCP",0.17032967032967,0.577975428839267,0.809165600374974,FALSE
"PA_SVP",0.0879120879120879,0.775195408889122,0.904394643703976,FALSE
"PA_ICP",0.032967032967033,0.914856474487513,0.914856474487513,FALSE
