"Parameter","ANOVA_P_Raw","ANOVA_P_Adjusted","ANOVA_Significant","PostHoc_Available","Significant_Pairs"
"Thickness_INL",0.632,0.842666666666667,FALSE,FALSE,""
"Thickness_OuterRetina",0.428,0.842666666666667,FALSE,FALSE,""
"Thickness_Retina",0.599,0.842666666666667,FALSE,FALSE,""
"Thickness_GCL.IPL",0.925,0.925,FALSE,FALSE,""
